,virus_spread_chance,Run,Dead Healthy Ratio,Death Rate,Resistant Susceptible Ratio,Susceptible Rate,num_nodes,avg_node_degree,initial_outbreak_size,lethality,recovery_chance,gain_resistance_chance
0,0.25,0,2.3333333333333335,0.7,0.8072289156626506,0.166,1000,8,1,0.1,0.4,0.3
1,0.25,1,2.3112582781456954,0.698,0.6149732620320856,0.187,1000,8,1,0.1,0.4,0.3
2,0.25,2,2.5211267605633805,0.716,0.4271356783919598,0.199,1000,8,1,0.1,0.4,0.3
3,0.25,3,2.058103975535168,0.673,0.9349112426035503,0.169,1000,8,1,0.1,0.4,0.3
4,0.25,4,2.2467532467532467,0.692,0.6923076923076923,0.182,1000,8,1,0.1,0.4,0.3
5,0.25,5,2.289473684210526,0.696,0.6084656084656085,0.189,1000,8,1,0.1,0.4,0.3
6,0.25,6,2.3783783783783785,0.704,0.6914285714285714,0.175,1000,8,1,0.1,0.4,0.3
7,0.25,7,2.0959752321981426,0.677,0.6479591836734694,0.196,1000,8,1,0.1,0.4,0.3
8,0.25,8,2.3783783783783785,0.704,0.7209302325581395,0.172,1000,8,1,0.1,0.4,0.3
9,0.25,9,2.0864197530864197,0.676,0.723404255319149,0.188,1000,8,1,0.1,0.4,0.3
10,0.25,10,2.3783783783783785,0.704,0.7209302325581395,0.172,1000,8,1,0.1,0.4,0.3
11,0.25,11,2.367003367003367,0.703,0.6779661016949152,0.177,1000,8,1,0.1,0.4,0.3
12,0.25,12,2.4364261168384878,0.709,0.7425149700598802,0.167,1000,8,1,0.1,0.4,0.3
13,0.25,13,2.134796238244514,0.681,0.7624309392265194,0.181,1000,8,1,0.1,0.4,0.3
14,0.25,14,2.5714285714285716,0.72,0.5469613259668509,0.181,1000,8,1,0.1,0.4,0.3
15,0.25,15,2.225806451612903,0.69,0.791907514450867,0.173,1000,8,1,0.1,0.4,0.3
16,0.25,16,2.367003367003367,0.703,0.6685393258426966,0.178,1000,8,1,0.1,0.4,0.3
17,0.25,17,2.3444816053511706,0.701,0.7183908045977011,0.174,1000,8,1,0.1,0.4,0.3
18,0.25,18,2.4310344827586206,0.705,0.6571428571428571,0.175,1000,8,1,0.1,0.4,0.3
19,0.25,19,2.508771929824561,0.715,0.7701863354037267,0.161,1000,8,1,0.1,0.4,0.3
20,0.25,20,2.257328990228013,0.693,0.6684782608695652,0.184,1000,8,1,0.1,0.4,0.3
21,0.25,21,2.7735849056603774,0.735,0.65625,0.16,1000,8,1,0.1,0.4,0.3
22,0.25,22,2.401360544217687,0.706,0.5978260869565217,0.184,1000,8,1,0.1,0.4,0.3
23,0.25,23,2.4246575342465753,0.708,0.7914110429447853,0.163,1000,8,1,0.1,0.4,0.3
24,0.25,24,2.3112582781456954,0.698,0.7660818713450293,0.171,1000,8,1,0.1,0.4,0.3
25,0.25,25,2.4965034965034967,0.714,0.653179190751445,0.173,1000,8,1,0.1,0.4,0.3
26,0.25,26,2.484320557491289,0.713,0.718562874251497,0.167,1000,8,1,0.1,0.4,0.3
27,0.25,27,2.2467532467532467,0.692,0.6830601092896175,0.183,1000,8,1,0.1,0.4,0.3
28,0.25,28,2.3222591362126246,0.699,0.644808743169399,0.183,1000,8,1,0.1,0.4,0.3
29,0.25,29,2.3783783783783785,0.704,0.7619047619047619,0.168,1000,8,1,0.1,0.4,0.3
30,0.25,30,2.194888178913738,0.687,0.7388888888888889,0.18,1000,8,1,0.1,0.4,0.3
31,0.25,31,0.001001001001001001,0.001,0.0,0.999,1000,8,1,0.1,0.4,0.3
32,0.25,32,2.4602076124567476,0.711,0.6802325581395349,0.172,1000,8,1,0.1,0.4,0.3
33,0.25,33,2.3333333333333335,0.7,0.6129032258064516,0.186,1000,8,1,0.1,0.4,0.3
34,0.25,34,2.5460992907801416,0.718,0.7090909090909091,0.165,1000,8,1,0.1,0.4,0.3
35,0.25,35,2.401360544217687,0.706,0.68,0.175,1000,8,1,0.1,0.4,0.3
36,0.25,36,2.1746031746031744,0.685,0.8208092485549133,0.173,1000,8,1,0.1,0.4,0.3
37,0.25,37,2.289473684210526,0.696,0.6,0.19,1000,8,1,0.1,0.4,0.3
38,0.25,38,2.367003367003367,0.703,0.6779661016949152,0.177,1000,8,1,0.1,0.4,0.3
39,0.25,39,2.4965034965034967,0.714,0.5888888888888889,0.18,1000,8,1,0.1,0.4,0.3
40,0.25,40,2.367003367003367,0.703,0.6779661016949152,0.177,1000,8,1,0.1,0.4,0.3
41,0.25,41,2.3783783783783785,0.704,0.7514792899408284,0.169,1000,8,1,0.1,0.4,0.3
42,0.25,42,2.278688524590164,0.695,0.5885416666666666,0.192,1000,8,1,0.1,0.4,0.3
43,0.25,43,2.1446540880503147,0.682,0.8275862068965517,0.174,1000,8,1,0.1,0.4,0.3
44,0.25,44,2.3783783783783785,0.704,0.7724550898203593,0.167,1000,8,1,0.1,0.4,0.3
45,0.25,45,2.5335689045936394,0.717,0.8141025641025641,0.156,1000,8,1,0.1,0.4,0.3
46,0.25,46,2.194888178913738,0.687,0.5495049504950495,0.202,1000,8,1,0.1,0.4,0.3
47,0.25,47,2.4965034965034967,0.714,0.7125748502994012,0.167,1000,8,1,0.1,0.4,0.3
48,0.25,48,2.134796238244514,0.681,0.6701570680628273,0.191,1000,8,1,0.1,0.4,0.3
49,0.25,49,2.1847133757961785,0.686,0.7158469945355191,0.183,1000,8,1,0.1,0.4,0.3
50,0.25,50,2.5587188612099645,0.719,0.7345679012345679,0.162,1000,8,1,0.1,0.4,0.3
51,0.25,51,2.5587188612099645,0.719,0.5439560439560439,0.182,1000,8,1,0.1,0.4,0.3
52,0.25,52,2.3112582781456954,0.698,0.5894736842105263,0.19,1000,8,1,0.1,0.4,0.3
53,0.25,53,2.367003367003367,0.703,0.6875,0.176,1000,8,1,0.1,0.4,0.3
54,0.25,54,2.3333333333333335,0.7,0.6574585635359116,0.181,1000,8,1,0.1,0.4,0.3
55,0.25,55,2.5211267605633805,0.716,0.775,0.16,1000,8,1,0.1,0.4,0.3
56,0.25,56,2.676470588235294,0.728,0.8888888888888888,0.144,1000,8,1,0.1,0.4,0.3
57,0.25,57,2.4246575342465753,0.708,0.7076023391812866,0.171,1000,8,1,0.1,0.4,0.3
